Date,Price,Open,High,Low,Vol.,Change %
2016-08-04,"6,740.16","6,634.40","6,749.67","6,615.83",1000000000.0,1.59%
2016-08-03,"6,634.40","6,645.40","6,673.63","6,621.42",797080000.0,-0.17%
2016-08-02,"6,645.40","6,693.95","6,694.14","6,630.76",822030000.0,-0.73%
2016-08-01,"6,693.95","6,724.43","6,769.41","6,678.45",727710000.0,-0.45%
2016-07-29,"6,724.43","6,721.06","6,740.47","6,691.13",921700000.0,0.05%
2016-07-28,"6,721.06","6,750.43","6,762.72","6,718.90",1200000000.0,-0.44%
2016-07-27,"6,750.43","6,724.03","6,780.05","6,723.71",786510000.0,0.39%
2016-07-26,"6,724.03","6,710.13","6,744.80","6,708.58",737760000.0,0.21%
2016-07-25,"6,710.13","6,730.48","6,756.13","6,691.03",682060000.0,-0.30%
2016-07-22,"6,730.48","6,699.89","6,735.94","6,663.72",716110000.0,0.46%
2016-07-21,"6,699.89","6,728.99","6,732.07","6,694.52",809670000.0,-0.43%
2016-07-20,"6,728.99","6,697.37","6,736.57","6,694.36",767730000.0,0.47%
2016-07-19,"6,697.37","6,695.42","6,711.69","6,660.87",634740000.0,0.03%
2016-07-18,"6,695.42","6,669.24","6,715.58","6,653.67",878070000.0,0.39%
2016-07-15,"6,669.24","6,654.47","6,669.24","6,616.51",839250000.0,0.22%
2016-07-14,"6,654.47","6,670.40","6,743.42","6,648.40",924140000.0,-0.24%
2016-07-13,"6,670.40","6,680.69","6,717.17","6,654.64",1060000000.0,-0.15%
2016-07-12,"6,680.69","6,682.86","6,703.09","6,663.66",1170000000.0,-0.03%
2016-07-11,"6,682.86","6,590.64","6,695.07","6,590.64",968340000.0,1.40%
2016-07-08,"6,590.64","6,533.79","6,605.83","6,515.24",937840000.0,0.87%
2016-07-07,"6,533.79","6,463.59","6,579.25","6,463.59",1050000000.0,1.09%
2016-07-06,"6,463.59","6,545.37","6,580.32","6,432.47",1610000000.0,-1.25%
2016-07-05,"6,545.37","6,522.26","6,561.58","6,472.25",1180000000.0,0.35%
2016-07-04,"6,522.26","6,577.83","6,612.13","6,514.81",748240000.0,-0.84%
2016-07-01,"6,577.83","6,504.33","6,587.44","6,498.56",1100000000.0,1.13%
2016-06-30,"6,504.33","6,360.06","6,504.33","6,309.98",1560000000.0,2.27%
2016-06-29,"6,360.06","6,140.39","6,360.06","6,140.39",1500000000.0,3.58%
2016-06-28,"6,140.39","5,982.20","6,170.26","5,982.20",1590000000.0,2.64%
2016-06-27,"5,982.20","6,138.69","6,138.69","5,958.66",2510000000.0,-2.55%
2016-06-24,"6,138.69","6,338.10","6,338.55","5,788.74",3880000000.0,-3.15%
2016-06-23,"6,338.10","6,261.19","6,380.58","6,261.19",915160000.0,1.23%
2016-06-22,"6,261.19","6,226.55","6,315.62","6,222.01",884650000.0,0.56%
2016-06-21,"6,226.55","6,204.00","6,250.19","6,156.23",842010000.0,0.36%
2016-06-20,"6,204.00","6,021.09","6,236.53","6,021.09",1010000000.0,3.04%
2016-06-17,"6,021.09","5,950.48","6,046.10","5,950.48",1310000000.0,1.19%
2016-06-16,"5,950.48","5,966.80","5,966.80","5,899.97",815960000.0,-0.27%
2016-06-15,"5,966.80","5,923.53","6,007.49","5,923.39",868080000.0,0.73%
2016-06-14,"5,923.53","6,044.97","6,044.97","5,921.72",983530000.0,-2.01%
2016-06-13,"6,044.97","6,115.76","6,115.76","6,044.97",852840000.0,-1.16%
2016-06-10,"6,115.76","6,231.89","6,231.89","6,097.24",748340000.0,-1.86%
2016-06-09,"6,231.89","6,301.52","6,301.73","6,229.07",668490000.0,-1.10%
2016-06-08,"6,301.52","6,284.53","6,304.51","6,263.80",663110000.0,0.27%
2016-06-07,"6,284.53","6,273.40","6,322.60","6,273.40",690000000.0,0.18%
2016-06-06,"6,273.40","6,209.63","6,301.56","6,209.63",732580000.0,1.03%
2016-06-03,"6,209.63","6,185.61","6,251.74","6,168.19",660720000.0,0.39%
2016-06-02,"6,185.61","6,191.93","6,220.27","6,173.05",892210000.0,-0.10%
2016-06-01,"6,191.93","6,230.79","6,233.18","6,151.90",887240000.0,-0.62%
2016-05-31,"6,230.79","6,270.79","6,290.07","6,230.11",1330000000.0,-0.64%
2016-05-30,"6,270.79","6,265.65","6,275.90","6,250.27",577100000.0,0.08%
2016-05-27,"6,270.79","6,265.65","6,275.90","6,250.27",577100000.0,0.08%
2016-05-26,"6,265.65","6,262.85","6,281.73","6,243.49",665570000.0,0.04%
2016-05-25,"6,262.85","6,219.26","6,270.25","6,219.26",870440000.0,0.70%
2016-05-24,"6,219.26","6,136.43","6,231.85","6,109.58",833810000.0,1.35%
2016-05-23,"6,136.43","6,156.32","6,173.06","6,122.57",653010000.0,-0.32%
